Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Number of maternal deaths,SH.MMR.DTHS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of maternal deaths,SH.MMR.DTHS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,..,..,..
Number of maternal deaths,SH.MMR.DTHS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of maternal deaths,SH.MMR.DTHS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221000,222000,223000,219000,219000,219000,218000,220000,224000,224000,224000,219000,216000,216000,216000,213000,212000,212000,211000,210000,206000,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221000,222000,223000,219000,219000,219000,218000,220000,224000,224000,224000,219000,216000,216000,216000,213000,212000,212000,211000,210000,206000,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221000,222000,223000,219000,219000,219000,218000,220000,224000,224000,224000,219000,216000,216000,216000,213000,212000,212000,211000,210000,206000,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6400,6500,6500,6200,5900,5600,5500,5100,5400,4900,4900,4500,4200,4200,4000,4100,4300,4200,4300,4500,4100,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33,33,31,30,27,23,21,20,19,17,15,14,14,15,15,14,12,11,11,11,11,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,5,5,6,5,5,5,5,5,6,5,5,6,6,5,5,5,5,5,5,5,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,7,6,6,7,7,6,6,6,6,6,6,6,6,6,7,5,6,6,6,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,170,150,140,130,140,130,120,130,150,130,140,150,160,160,140,120,100,110,110,120,120,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,120,110,96,91,88,83,81,76,71,76,70,66,61,57,54,52,47,45,43,44,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11000,11000,10000,9800,9500,9300,9300,9700,11000,9900,8700,8300,7200,7200,7000,6700,6200,6000,5800,5800,5400,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,410,400,330,330,350,330,310,310,310,300,290,280,260,250,240,220,210,200,200,190,190,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,260,260,250,230,220,200,190,170,160,150,130,120,110,110,96,94,87,85,82,74,67,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,930,950,940,950,1000,1100,1100,1200,1200,1200,1300,1200,1300,1200,1200,1100,1100,1100,1200,1100,1100,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,13,12,13,11,11,12,11,11,9,10,9,9,8,7,6,6,5,5,5,5,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Tunisia,TUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,99,97,95,93,90,87,96,93,91,90,88,83,83,83,83,74,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Turkiye,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,440,430,370,360,340,330,320,310,300,290,290,300,280,270,270,280,280,240,230,220,220,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,27,23,21,19,18,16,15,13,13,12,11,11,10,9,9,8,7,7,7,7,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5400,5400,5500,5600,5600,5600,5400,5100,5300,5400,5200,5100,4800,4500,4800,4700,4700,4800,4500,4700,4700,..,..,..
Number of maternal deaths,SH.MMR.DTHS,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,120,110,100,93,89,100,100,96,88,84,76,87,83,60,54,47,44,43,33,56,..,..,..
