Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,3.58355999,3.689909935,..,3.934509993,5.831459999,5.714419842,5.514259815,4.966169834,4.575530052,5.383920193,5.897610188,..,6.133890152,6.070049763,5.622940063,4.561840057,3.615859985,4.03414011,..,..,..,..,..,..,3.69904995,..,..,..,..,4.54640007,5.269849777,6.480840206,5.371479988,..,5.279650211,4.864709854,4.59525013,5.130139828,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.18558979,..,2.065900087,2.043450117,..,2.528490067,2.076519966,2.328710079,2.376590014,2.775789976,2.420789957,2.772030115,3.512130022,3.40350008,3.413269997,3.459830046,4.098309994,4.006750107,3.935110092,4.018030167,5.293976307,5.593988895,4.967740059,5.730941296,5.544717789,5.38508749,5.484276295,5.737252712,5.701633453,5.715097904,5.810545921
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,1.723700047,1.747550011,1.87658,1.914190054,..,..,..,..,..,2.625319958,..,..,..,..,..,..,..,..,1.548910022,1.472329974,..,..,..,..,..,1.744179964,1.69306004,1.498389959,..,..,..,..,..,3.562449932,3.547470093,3.009919882,4.033420086,4.185910225,3.960760117,4.541699886,4.577898979,4.229642868,4.637694359,4.346057415,4.194865704,4.101967335,4.400383472,3.963435888,3.596836329,3.230972528,3.115153313,3.23824501,3.260152817
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,3.066220045,3.029150009,2.554250002,2.146869898,2.380880117,3.016720057,3.215120077,..,2.845289946,2.5745399,2.883140087,3.273880005,3.463870049,3.437220097,..,3.407979965,3.115819931,2.753420115,2.502429962,..,3.08859992,3.045409918,..,3.405230045,3.144979954,3.499609947,4.577189922,4.625699997,4.832670212,5.25345993,4.81787014,3.864919901,3.725610018,4.030889988,3.93859005,4.05038023,3.603149891,3.508500099,3.861939907,3.508440018,4.805550098,3.596918344,3.824398518,3.919177532,3.86397624,3.767617464,3.465321541,3.197694063,3.022214174,3.153141737,2.982124329,2.611870289,2.521222115
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.670149803,12.90248013,11.10657978,10.19351959,7.165723324,5.680557251,7.658904552,6.292498112,6.012009621,5.200522423,4.874409676,4.179688931,3.652873516,2.973894119,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Togo,TGO,..,..,..,..,..,..,..,..,..,..,1.496809959,..,..,..,..,..,..,..,..,4.729599953,..,4.16519022,..,..,3.819269896,..,..,3.340630054,..,..,..,..,4.018650055,..,..,..,3.12451005,..,2.82130003,2.963969946,2.776449919,2.667500019,2.469520092,2.355249882,2.201980114,2.237489939,2.432379961,2.486040115,2.384720087,2.768079996,2.959779978,3.077500105,3.376519918,3.17475009,3.423769951,3.710979939,3.662480116,3.765269995,4.091629982,4.201668262,4.091336727,4.231181622,3.798119307,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.34650993,..,..,..,..,..,..,..,..,..,..,..,..,..,5.517129898,5.380559921,4.878079891,4.477560043,3.795000076,4.159510136,3.91376996,..,..,..,..,..,..,..,..,..,..,..,..,5.059225082,4.969455242,5.273229599,4.860516548,4.927039146,5.646192074,5.145653248
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.768079996,..,5.457399845,5.766600132,5.87390995,5.767749786,..,..,..,4.19987011,3.654129982,..,..,..,3.431809902,3.558549881,3.248769999,3.325210094,2.438920021,2.756119967,2.755650043,3.065289974,3.543009996,3.136600018,..,..,..,..,..,..,4.211554527,3.850788355,3.681926966,3.772786617,3.615541697,4.453393459,4.172309875,3.529951572,3.640172958,3.542849541,4.257669926,3.00432992,2.879704237,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tunisia,TUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.235159874,4.889359951,5.286049843,5.457630157,5.517449856,5.539720058,5.879489899,..,..,..,5.790860176,6.027470112,5.754889965,5.983769894,6.176469803,6.429759979,6.287809849,6.679029942,..,6.270989895,6.201960087,6.201849937,5.790060043,6.81675005,6.720789909,6.451570034,6.438799858,6.464519978,6.271570206,6.528480053,5.963069916,..,5.950860023,..,..,6.220449924,..,..,..,6.173732281,7.265075684,6.679846764,6.804989815,6.733988762
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkiye,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.347740173,2.915199995,..,2.208300114,1.754909992,2.647599936,2.029230118,1.738109946,1.509570003,..,..,..,..,..,..,3.365469933,3.42482996,2.251110077,..,..,0,..,..,..,..,..,..,..,..,..,3.320557833,3.765049696,3.787013531,4.221519947,4.387219906,4.344810009,4.412580013,4.305500031,4.627739906,4.323689938,4.297299862,4.447760105,4.033820152,3.537879944,2.614303589,..
